year,image_path,theme,date,location,address,city-state zipcode,phone,website,reservations,early-bird-close,early-bird-one-day,early-bird-two-day,membership-one-day,membership-two-day,non-member-one-day,non-member-two-day,lunch-only,payment_online,payment-mail-in,program_url
2016,,THEME TO BE ANNOUNCED,October 14 - 15,Westin Westminster,10600 Westminster Blvd.,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,,,unannounced,unannounced,unannounced,unannounced,unannounced,unannounced,$30.00,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",
2015,light-bulb.jpg,"Moving Forward with Innovation, Opportunity, and Action",October 23 - 24,Westin Westminster,10600 Westminster Blvd.,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,,October 1st,$75.00,$100.00,$125.00,$175.00,same as membership,same as membership,$30.00,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",http://goo.gl/oO8mtT
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,